instance	true	probability
42122911414	0	-1.46
42087013787	0	-1.52
42099022017	0	-1.86
42108879016	0	-2.1
42112315350	0	-0.42
42095206957	0	-1.44
42087798735	0	-2.12
42104136130	0	-1.48
42099629828	0	-1.1
42098458919	0	-1.44
42111559324	0	-1.54
42094147831	0	-1.42
42105355777	0	-1.44
42088167754	0	-1.72
42123051940	0	-1.58
42107133206	0	-1.54
42133995995	0	-1.6
42106258213	0	-1.24
42112534246	0	-1.86
42109802514	0	-1.26
42095272872	0	-1.58
42102932116	0	-1.94
42116634107	0	-1.5
42108704449	0	-1.4
42111406304	0	-1.72
42093626643	0	-1.4
42103029311	0	-1.46
42130394973	0	-1.62
42092178168	0	-1.04
42101789259	0	-2.1
42089919379	0	-1.2
42107656401	0	-1.66
42111779752	0	-2.36
42123280835	0	-1.64
42119823324	0	-1.44
42128170509	0	-1.36
42098898648	0	-1.42
42131548901	0	-1.66
42109343163	0	-1.38
42131370887	0	-1.34
42118495452	0	-1.22
42118759413	0	-1.24
42090054472	0	-1.82
42103830174	0	-1.8
42104413000	0	-1.22
42093435992	0	-1.66
42091842072	0	-1.4
42091968711	0	-2.14
42090706917	0	-1.7
42095734284	0	-1.62
42133210984	0	-1.1
42127174843	0	-1.36
42112512677	0	-2.0
42087482128	0	-1.66
42132112634	0	-1.42
42107182118	0	-1.28
42093652746	0	-1.42
42113702329	0	-1.56
42113253041	0	-1.56
42126010458	0	-2.4
42127291971	0	-1.42
42112775174	0	-1.26
42100283225	0	-1.04
42134313179	0	-1.78
42116083424	0	-1.24
42118196169	0	-1.34
42105610403	0	-1.02
42112252083	0	-1.2
42103105538	0	-1.44
42109006188	0	-1.32
42101410251	0	-1.28
42091799640	0	-1.48
42109953646	0	-2.32
42096886044	0	-1.3
42120443855	0	-1.38
42106932472	0	-1.56
42108118849	0	-1.22
42134493715	0	-1.9
42132419089	0	-1.6
42087174016	0	-1.66
42109978395	0	-1.74
42132506598	0	-1.46
42100803890	0	-1.46
42101871131	0	-1.46
42124486207	0	-1.76
42094154175	0	-1.24
42102422713	0	-1.58
42110076773	0	-2.26
42101720112	0	-1.66
42100445097	0	-1.64
42105244518	0	-1.46
42110156499	0	-1.44
42122790502	0	-1.6
42087531266	0	-1.44
42088124348	0	-1.9
42112727009	0	-1.26
42105832557	0	-1.44
42113852853	0	-1.44
42094228031	0	-1.34
42107236190	0	-1.72
42109375345	0	-1.32
42127860462	0	-1.36
42100459266	0	-2.0
42098612436	0	-2.08
42091637929	0	-1.56
42103381277	0	-1.54
42088579790	0	-1.26
42090535057	0	-1.26
42095586592	0	-1.74
42124384616	0	-1.12
42091385315	0	-1.18
42130670610	0	-1.6
42111922666	0	-1.58
42088847855	0	-1.56
42126913756	0	-1.48
42127253871	0	-1.36
42127399165	0	-1.66
42116259094	0	-2.38
