instance	true	assigned	probability
47108701503	1	1	-1.28
47108712734	1	1	-1.14
47108731336	1	1	-1.0
47108733244	1	1	-1.14
47108739208	1	1	-1.4
47108739732	1	1	-1.52
47108754623	1	1	-1.34
47108754706	1	1	-1.52
47108788413	1	1	-1.14
47108795900	1	1	-1.14
47108840512	1	1	-1.26
47108889510	1	1	-1.12
47108894463	1	1	-1.46
47108952461	1	1	-1.28
47108971946	1	1	-1.26
47108992772	1	1	-1.34
47109001599	1	1	-1.22
47109013877	1	1	-1.28
47109015257	1	1	-1.14
47109038027	1	1	-1.2
47109040652	1	1	-1.06
47109044841	1	1	-1.32
47109091250	1	1	-1.22
47109109007	1	1	-1.14
47109117880	1	1	-1.14
47109132183	1	1	-1.28
47109143366	1	1	-1.26
47109211397	1	1	-1.12
47109228261	1	1	-1.18
47109311867	1	1	-0.9
47109333774	1	1	-1.04
47109387846	1	1	-1.24
47109471168	1	1	-1.02
47109477395	1	1	-1.04
47109514500	1	1	-0.96
47109555653	1	1	-1.16
47109712053	1	1	-1.1
47109712954	1	1	-0.96
47109853685	1	1	-0.9
47109859676	1	1	-1.54
47110031287	1	1	-1.16
47110236035	1	1	-0.96
47110506011	1	1	-1.04
47110690044	1	1	-0.96
47110743067	1	1	-0.9
47110855071	1	1	-1.04
47111116302	1	1	-0.9
47111182443	1	1	-1.02
47111217262	1	1	-1.04
47111226383	1	1	-1.1
47111236128	1	1	-1.16
47111249329	1	1	-1.16
47111331115	1	1	-1.1
47111356475	1	1	-1.28
47111442218	1	1	-1.16
47111516053	1	1	-1.16
47111579207	1	1	-1.02
47111813773	1	1	-1.16
47111903529	1	1	-0.96
47111938435	1	1	-0.96
47111958925	1	1	-1.16
47111960983	1	1	-1.02
47111984300	1	1	-0.88
47112080929	1	1	-0.96
47112124543	1	1	-1.04
47112179866	1	1	-1.28
47112212056	1	1	-1.04
47112229785	1	1	-1.28
47112276266	1	1	-1.1
47112372025	1	1	-1.16
47112382445	1	1	-0.9
47112388845	1	1	-1.1
47112427890	1	1	-1.1
47113578900	1	1	-1.44
47114426325	1	1	-1.64
47117705854	1	1	-1.22
47117975494	1	1	-0.4
47118299715	1	1	-0.8
47120151360	1	1	-1.94
47120219147	1	1	-1.24
47120316955	1	1	-1.92
47120341285	1	1	-1.76
47120397234	1	1	-1.48
47120689091	1	1	-1.98
47120894264	1	1	-1.56
47121387917	1	1	-2.08
47122023926	1	1	-1.28
47122188741	1	1	-1.7
47122922465	1	1	-0.58
47123097861	1	1	-1.04
47123160855	1	1	-0.42
47123294940	1	1	-0.8
47123877509	1	1	-1.46
47124524329	1	1	-1.64
47124965844	1	1	-0.96
47125016347	1	1	-1.3
47125730412	1	1	0.54
46921335725	1	1	-1.16
46922633675	1	1	-1.4
46925218234	1	1	-0.82
46927369624	1	1	-1.42
46927402522	1	1	-1.58
46928255819	1	1	-1.24
46934413479	1	1	-1.08
46934631859	1	1	0.52
46935834677	1	1	-1.4
46936501440	1	1	-1.2
46936922206	1	1	-1.62
46937089290	1	1	-1.46
46937699394	1	1	-2.4
46937986816	1	1	-1.06
46938094314	1	1	-0.92
46939205588	1	1	-1.4
46939880414	1	1	-1.24
46940088278	1	1	-1.26
46940377227	1	1	-0.58
46940638282	1	1	-1.44
46941032472	1	1	-1.46
46941153511	1	1	1.08
46941498259	1	1	-1.5
46942064366	1	1	-1.28
46943375379	1	1	-1.26
46943448882	1	1	-0.98
46943548187	1	1	-1.3
46943549751	1	1	-1.8
46943683671	1	1	-1.0
46943839056	1	1	-1.5
46944298214	1	1	-0.54
46944577296	1	1	-1.34
46945533552	1	1	-1.1
46945740571	1	1	-1.22
46946035164	1	1	-0.94
46946146897	1	1	-1.42
46946366559	1	1	-1.38
46946572597	1	1	-1.94
46946812493	1	1	-1.06
46947147039	1	1	-1.3
46947325932	1	1	-1.42
46948338060	1	1	-1.66
46948350394	1	1	-2.12
46950090065	1	1	-1.32
46953228165	1	1	-1.22
46953448725	1	1	-1.42
46954549881	1	1	-1.96
46954558026	1	1	-1.94
46954560898	1	1	-1.92
46954784295	1	1	-2.16
46954854123	1	1	-1.82
46955053917	1	1	-1.44
46955183244	1	1	-1.06
46955223980	1	1	-1.44
46955431114	1	1	-1.3
46955432810	1	1	-1.3
46955471303	1	1	-1.6
46955488964	1	1	-1.12
46955926907	1	1	-1.64
46956030586	1	1	-1.3
46956110021	1	1	-1.32
46957575883	1	1	-1.2
46957582168	1	1	-1.2
46958478757	1	1	-1.28
46958791480	1	1	-1.34
46959835346	1	1	-1.38
46960031104	1	1	-1.7
46960173077	1	1	-1.28
46960201888	1	1	-1.76
46960256331	1	1	-1.62
46960498001	1	1	-1.28
46960662744	1	1	-1.44
46961832192	1	1	-1.02
46962752008	1	1	-1.82
46963487755	1	1	-0.8
46963952538	1	1	0.52
46967783776	1	1	-1.54
46875361111	1	1	-0.22
46875820471	1	1	-1.22
46877713546	1	1	-1.3
46878517392	1	1	-1.26
46878822283	1	1	-1.5
46880248411	1	1	-1.28
46882193832	1	1	-1.14
46883783012	1	1	-1.24
46883825723	1	1	-1.44
46884243637	1	1	-0.8
46884271537	1	1	-1.2
46884315352	1	1	-1.36
46884326716	1	1	-1.18
46884572656	1	1	-1.22
46884578929	1	1	-1.16
46884579930	1	1	-1.24
46885060789	1	1	-1.22
46885672290	1	1	-1.2
46885705298	1	1	-1.2
46886668005	1	1	-1.44
46886678587	1	1	-1.44
46886991094	1	1	-1.16
46886998093	1	1	-1.22
46887008214	1	1	-1.22
46887010023	1	1	-1.26
46887123050	1	1	-0.86
46887317380	1	1	-1.36
46887355347	1	1	-1.72
46887375317	1	1	-1.36
46887457732	1	1	-0.72
46887494926	1	1	-1.4
46889407115	1	1	-0.14
46890014061	1	1	-1.2
46890236180	1	1	-1.4
46890237173	1	1	-1.4
46890238495	1	1	-1.4
46890283842	1	1	-1.02
46891758897	1	1	-1.52
46891947218	1	1	-0.06
46892538786	1	1	-0.84
46893645810	1	1	-1.2
46893648940	1	1	-1.22
46893653938	1	1	-1.24
46893665446	1	1	-1.18
46893668097	1	1	-1.2
46893670849	1	1	-1.22
46893726283	1	1	-1.26
46893753074	1	1	-1.1
46893781237	1	1	-1.2
46893796496	1	1	-1.24
46894018413	1	1	-0.22
46894362777	1	1	-1.2
46894467262	1	1	-1.24
46894475630	1	1	-1.24
46894553341	1	1	-1.3
46895078156	1	1	-1.56
46895106539	1	1	-0.5
46895331666	1	1	-1.22
46896524416	1	1	0.14
46896807075	1	1	-1.78
46896956514	1	1	-1.24
46897113170	1	1	-2.08
46897134445	1	1	-1.52
46897485582	1	1	-1.42
46897748036	1	1	-0.86
46898955962	1	1	-1.36
46899937064	1	1	-0.56
46900140004	1	1	-1.24
46900751559	1	1	-0.94
46901124401	1	1	-0.76
46901226383	1	1	-1.48
46901707684	1	1	-0.96
46903722315	1	1	-1.44
46904234594	1	1	-0.68
46904547064	1	1	-0.64
46905203116	1	1	-1.44
46906482615	1	1	-1.08
46906807775	1	1	-1.06
46907028926	1	1	-1.1
46909761132	1	1	-1.2
46911624909	1	1	-0.52
46913104842	1	1	-0.5
46915385404	1	1	-0.7
46916102163	1	1	-0.96
46916731072	1	1	-1.12
46916807358	1	1	-1.2
46917360482	1	1	-0.96
46829100811	1	1	-0.92
46829182449	1	1	-1.12
46829644320	1	1	-0.26
46829931904	1	1	-0.5
46830180276	1	1	-0.94
46830394832	1	1	-0.36
46830591439	1	1	-1.06
46831658646	1	1	-1.32
46832094718	1	1	-0.2
46832271446	1	1	-1.28
46832346809	1	1	-0.62
46832383144	1	1	-1.46
46832415759	1	1	-0.2
46832520996	1	1	-0.24
46832524231	1	1	-0.26
46832537859	1	1	-1.28
46832724953	1	1	-1.44
46832729211	1	1	-1.18
46832781498	1	1	0.06
46832795889	1	1	-1.46
46832805781	1	1	-1.38
46832879213	1	1	-1.52
46832947943	1	1	-0.88
46833079927	1	1	-1.6
46833180703	1	1	-1.18
46833599864	1	1	-1.42
46834041114	1	1	-1.6
46834596275	1	1	-0.92
46835053282	1	1	-1.4
46835611116	1	1	-1.18
46835664082	1	1	-1.4
46836328218	1	1	-1.02
46836362524	1	1	-1.24
46836508134	1	1	-0.84
46836926263	1	1	-1.38
46837102580	1	1	-1.28
46837841713	1	1	-0.72
46838209993	1	1	-0.84
46838234742	1	1	0.12
46838682937	1	1	-0.86
46839505872	1	1	-0.58
46839757457	1	1	-0.94
46840212460	1	1	-0.98
46840323873	1	1	-1.52
46840492899	1	1	-0.18
46840530038	1	1	-0.32
46840589678	1	1	-1.38
46840635384	1	1	-0.56
46840869138	1	1	-1.26
46840888781	1	1	-0.36
46841054060	1	1	-0.46
46841187912	1	1	-1.4
46841589181	1	1	-1.44
46841685446	1	1	-1.22
46842628631	1	1	-0.7
46842645385	1	1	-1.2
46842801398	1	1	-1.32
46842920271	1	1	-0.78
46842976510	1	1	-0.96
46843146867	1	1	-0.8
46843388128	1	1	-1.36
46843963058	1	1	-1.54
46844465722	1	1	-0.72
46844485597	1	1	-1.3
46845356772	1	1	-1.36
46845795005	1	1	-1.3
46845893827	1	1	-0.24
46846238630	1	1	-0.54
46846430296	1	1	-1.28
46847017410	1	1	-1.02
46847550143	1	1	-1.44
46847631390	1	1	-1.66
46847727422	1	1	-1.28
46847812012	1	1	-1.22
46847991259	1	1	-0.84
46848142671	1	1	-1.44
46848228625	1	1	-1.32
46848277073	1	1	-1.42
46848474367	1	1	9.76996e-15
46849074470	1	1	-1.24
46849560342	1	1	-0.02
46849582550	1	1	-1.4
46849734727	1	1	-1.04
46849863962	1	1	-1.1
46849888345	1	1	-1.26
46850008719	1	1	-1.42
46850126939	1	1	-1.18
46850440780	1	1	-1.36
46850526292	1	1	-1.62
46850858367	1	1	-0.72
46850930448	1	1	-1.42
46851355512	1	1	-0.5
46852058899	1	1	-0.64
46852813690	1	1	-0.52
46853226412	1	1	-1.42
46853336794	1	1	-0.92
46854067379	1	1	-1.18
46854093157	1	1	-1.26
46854617687	1	1	-1.1
46855077310	1	1	-1.06
46855403680	1	1	-1.32
46855813255	1	1	-1.32
46856179372	1	1	-0.5
46856294873	1	1	-1.72
46856762534	1	1	-1.5
46857225723	1	1	-1.14
46857350123	1	1	-1.72
46857383119	1	1	-1.16
46857982581	1	1	-1.48
46857995371	1	1	-1.48
46858227240	1	1	-1.14
46859195437	1	1	-0.22
46859219814	1	1	-1.12
46859370316	1	1	-0.16
46860146528	1	1	-0.9
46860471002	1	1	-0.88
46860700867	1	1	-1.42
46861313560	1	1	-0.62
46861532720	1	1	-0.98
46861876107	1	1	-0.68
46862328829	1	1	-1.32
46862370257	1	1	-1.02
46862683400	1	1	-0.28
46863538060	1	1	-0.64
46864840425	1	1	-1.58
46865373936	1	1	-1.22
46865661414	1	1	-1.36
46865696226	1	1	0.84
46867047650	1	1	-0.9
46869580994	1	1	-1.32
46869635104	1	1	-1.32
46870143964	1	1	-1.26
46870564718	1	1	-0.76
46870586022	1	1	-1.14
46871340416	1	1	-1.38
46871375016	1	1	-1.22
46871399320	1	1	-1.2
46871430478	1	1	-1.2
46871456173	1	1	-1.2
46871458690	1	1	-1.2
46871471783	1	1	-1.2
46871495008	1	1	-1.18
46871840109	1	1	-1.28
46871993031	1	1	-1.28
46872214472	1	1	-1.18
46872476553	1	1	-1.0
46872783306	1	1	-1.26
46872967468	1	1	-0.02
46873301317	1	1	-1.48
46873673961	1	1	-0.54
46874464164	1	1	-0.38
46828766871	1	1	0.84
46829419719	1	1	-1.48
46832827131	1	1	-0.2
46833074117	1	1	-1.26
46833449168	1	1	-0.26
46835224168	1	1	-1.32
46835331784	1	1	-0.88
46837956204	1	1	-1.66
46839165197	1	1	-1.22
46839300266	1	1	-1.98
46839441939	1	1	-2.02
46839506900	1	1	-1.98
46840701025	1	1	-1.16
46842672477	1	1	-0.28
46845203325	1	1	-1.02
46845994151	1	1	-0.68
46847611087	1	1	-1.6
46849067372	1	1	-1.08
46849331766	1	1	-0.56
46849563099	1	1	0.46
46850455071	1	1	-1.18
46851400911	1	1	-1.06
46852243321	1	1	-1.68
46854438177	1	1	-1.22
46856034426	1	1	-1.52
46857362122	1	1	-1.06
46857424970	1	1	-1.14
46857526148	1	1	-1.14
46857582078	1	1	-1.04
46858039392	1	1	-1.48
46860126221	1	1	-1.16
46860417589	1	1	-0.88
46860449887	1	1	-0.76
46860842331	1	1	-1.8
46861060093	1	1	-1.12
46861113545	1	1	-1.48
46861355665	1	1	-1.4
46862069461	1	1	-1.1
46862212972	1	1	-1.54
46865467043	1	1	-0.5
46865580912	1	1	-1.24
46867247494	1	1	-0.98
46868734258	1	1	-1.08
46869559147	1	1	-1.32
46869604824	1	1	-1.32
46871008815	1	1	-1.26
46871348952	1	1	-1.2
46871452833	1	1	-1.2
46871479073	1	1	-1.2
46871914406	1	1	-1.26
46785529328	1	1	-1.66
46786669671	1	1	0.54
46787208069	1	1	0.46
46787448259	1	1	-1.42
46787562702	1	1	0.06
46788063354	1	1	-1.28
46788266151	1	1	-1.36
46789442976	1	1	-1.66
46789810807	1	1	-0.42
46791494948	1	1	-1.12
46795348491	1	1	0.52
46795836196	1	1	-1.16
46796566551	1	1	-1.64
46798131342	1	1	-1.46
46798167157	1	1	-1.46
46799251756	1	1	-1.28
46799959892	1	1	0.08
46800350209	1	1	-1.44
46801680278	1	1	-0.84
46802745608	1	1	-1.82
46802809866	1	1	-1.46
46803505661	1	1	-1.48
46804145951	1	1	3.8
46804162673	1	1	-1.32
46804659364	1	1	-0.8
46805088521	1	1	-0.84
46805107615	1	1	-1.48
46805222170	1	1	-0.98
46805672866	1	1	-1.04
46806399566	1	1	-1.4
46806446944	1	1	-0.84
46807050533	1	1	-0.84
46807512544	1	1	-0.84
46807536238	1	1	-0.18
46807974710	1	1	-0.88
46808149884	1	1	-1.26
46808430213	1	1	-1.14
46809171424	1	1	-1.32
46809436774	1	1	0.52
46815444191	1	1	-0.92
46816893113	1	1	-1.16
46816915900	1	1	-0.92
46817036483	1	1	-1.96
